F,D
295,82
113,83
236,122
250,126
136,134
270,69
340,81
102,75
289,117
119,125
112,96
192,63
249,57
116,111
232,69
134,146
390,143
263,143
347,109
196,82
255,150
112,125
238,102
216,84
241,76
189,99
135,85
138,144
110,57
375,73
298,71
362,77
196,103
213,105
332,66
244,119
276,132
169,71
129,104
268,114
346,67
293,114
345,95
314,75
374,97
110,88
154,127
208,59
104,87
188,142
133,142
366,139
102,137
293,118
292,137
305,115
196,57
299,144
157,85
140,106
284,112
198,74
222,60
167,133
357,75
130,96
218,52
206,93
177,132
378,79
281,127
211,73
288,100
359,97
246,98
281,90
149,126
252,92
187,80
377,143
157,136
379,144
330,52
396,66
211,122
236,65
262,116
116,136
227,99
361,107
247,125
267,61
105,56
118,69
183,59
239,90
147,104
377,121
231,143
338,52
301,88
199,69
144,109
183,148
147,129
152,78
310,127
232,95
185,51
308,82
400,93
355,145
169,92
384,111
337,145
206,130
107,122
189,143
243,108
292,80
352,104
320,122
253,129
259,129
231,78
280,81
193,61
197,95
334,80
310,114
324,86
352,148
309,144
298,124
379,109
309,51
232,86
247,100
180,116
243,80
180,133
292,128
366,66
164,82
389,83
238,138
263,69
169,74
375,115
243,72
135,56
363,140
100,89
110,88
310,127
369,145
317,91
371,69
203,123
399,70
321,62
183,117
191,142
331,133
168,136
155,149
108,147
156,138
320,84
356,118
153,127
171,69
314,120
345,127
117,58
115,117
263,91
373,104
200,113
146,103
113,67
159,90
334,150
154,82
288,67
379,88
109,60
284,71
379,82
282,94
290,81
153,92
307,81
338,84
381,134
200,100
355,120
133,105
163,105
193,103
163,67
340,54
306,95
157,53
257,53
328,102
236,117
238,128
341,78
254,145
352,91
232,71
391,77
357,72
186,83
112,144
204,88
117,62
324,102
243,70
266,92
398,105
329,66
313,83
304,73
209,55
194,138
241,54
176,126
305,109
155,123
136,149
106,138
204,150
316,59
172,138
248,117
114,57
357,54
359,92
174,77
218,78
365,138
108,58
270,94
362,69
157,123
231,120
144,116
133,79
197,67
279,94
197,143
366,129
304,54
213,118
263,136
268,70
394,69
143,100
164,55
399,150
303,116
178,68
195,137
245,135
305,100
236,132
134,50
318,147
391,123
187,76
162,74
227,95
176,136
238,148
120,52
328,102
395,146
278,64
179,54
291,138
161,112
284,142
232,122
210,135
108,83
185,138
235,114
227,73
321,99
367,127
394,80
249,127
208,50
380,134
176,132
137,80
196,53
329,79
240,128
304,54
377,87
316,138
239,107
314,70
289,116
268,101
120,100
298,55
122,88
180,58
318,59
308,109
115,149
170,50
219,132
266,85
276,97
205,120
373,52
228,51
317,50
124,56
197,66
334,128
156,97
162,114
313,52
135,132
124,67
131,59
205,139
102,129
189,57
393,68
317,62
248,138
309,110
216,76
392,79
189,140
389,106
364,133
322,72
337,105
265,131
343,91
119,97
173,69
192,85
387,64
343,82
345,76
173,70
139,94
369,82
344,54
350,92
375,147
324,117
133,111
233,104
144,58
363,92
399,87
336,139
312,147
383,94
293,84
269,79
365,83
181,118
295,74
285,78
181,81
354,120
286,100
213,56
344,139
355,131
195,61
257,87
333,143
368,146
290,85
157,130
110,141
258,55
113,80
303,132
125,124
355,66
205,83
115,105
184,123
349,81
121,70
107,98
117,74
324,116
339,130
359,108
135,127
348,82
344,69
250,132
241,131
224,56
365,53
274,83
237,65
389,97
207,123
368,75
351,72
231,135
219,67
268,102
286,59
298,99
389,116
394,145
127,72
158,137
183,116
159,83
368,81
172,123
344,81
272,119
353,134
172,53
198,142
328,121
373,123
188,65
375,107
219,107
157,119
302,78
231,92
152,74
247,141
150,68
188,60
199,89
365,141
283,79
240,80
216,103
128,112
155,142
353,93
242,59
339,118
285,72
268,96
385,67
219,131
211,57
352,110
374,66
141,91
340,71
375,70
227,125
174,139
167,101
327,118
252,62
121,125
111,116
229,150
120,104
395,67
249,96
361,52
375,56
338,139
364,79
190,147
189,50
229,94
226,92
181,147
298,85
105,83
398,100
267,102
390,51
252,136
131,96
253,139
320,132
184,144
305,143
343,123
193,82
115,129
168,108
308,109
294,115
294,102
168,99
276,117
312,115
141,84
297,70
357,96
196,92
206,136
322,91
267,119
266,90
349,126
277,126
343,75
162,56
236,139
262,61
234,120
142,97
275,59
177,94
219,112
182,130
379,139
129,126
231,77
311,102
158,122
222,135
293,78
329,127
140,83
111,67
287,114
248,82
300,66
150,90
211,129
333,87
257,93
346,65
369,85
119,141
287,150
168,52
132,113
157,98
193,52
248,137
383,80
318,61
398,109
246,138
117,90
100,142
355,145
331,125
148,137
341,141
275,116
210,92
112,68
258,146
370,68
307,131
346,57
146,86
345,142
145,120
199,100
193,61
128,86
212,103
232,102
295,120
374,122
335,120
259,54
106,73
304,52
114,94
334,54
191,123
297,93
201,104
259,88
237,62
179,58
340,138
110,124
154,60
231,139
314,95
390,79
260,120
352,89
220,87
181,148
225,148
381,113
189,83
132,93
370,95
144,78
170,144
379,85
132,129
344,101
315,130
315,85
383,86
208,85
371,148
296,73
300,59
184,60
111,58
263,135
162,53
181,99
355,141
294,107
396,121
287,106
257,148
281,107
371,133
177,52
272,149
237,55
254,65
338,61
343,85
180,120
313,142
252,68
183,81
305,124
343,74
187,122
271,110
327,91
397,54
173,74
278,85
115,150
208,93
265,97
296,122
155,97
276,122
208,137
283,80
286,136
376,62
109,102
189,116
117,74
261,139
278,84
179,93
398,106
242,115
283,50
300,60
183,112
375,119
